Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Adhesive type (product.metafields.shopify.adhesive-type),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Drinkware material (product.metafields.shopify.drinkware-material),Embellishment/Trim material (product.metafields.shopify.embellishment-trim-material),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blubullfly-bubble-free-vinyl-stickers,Blubullfly Bubble-Free Durable Vinyl Stickers - High Opacity,"These stickers are printed on durable, high opacity adhesive vinyl which makes them perfect for regular use, as well as for covering other stickers or paint. The high-quality vinyl ensures there are no bubbles when applying the stickers.<br>
<br>
•  High opacity film that’s impossible to see through<br>
•  Fast and easy bubble-free application<br>
•  Durable vinyl<br>
•  95µ density<br>
<br>
Don't forget to clean the surface before applying the sticker.<p><strong class=""size-guide-title"">Size guide</strong></p><div class=""table-responsive dynamic"" data-unit-system=""imperial""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>HEIGHT (inches)</strong></td>
<td><strong>WIDTH (inches)</strong></td>
</tr>
<tr>
<td><strong>3″×3″</strong></td>
<td>3 </td>
<td>3 </td>
</tr>
<tr>
<td><strong>4″×4″</strong></td>
<td>4 </td>
<td>4 </td>
</tr>
</tbody></table></div><div class=""table-responsive dynamic"" data-unit-system=""metric""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>HEIGHT (cm)</strong></td>
<td><strong>WIDTH (cm)</strong></td>
</tr>
<tr>
<td><strong>3″×3″</strong></td>
<td>7.5</td>
<td>7.5</td>
</tr>
<tr>
<td><strong>4″×4″</strong></td>
<td>10</td>
<td>10</td>
</tr>
</tbody></table></div>",Bluebullfly,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,STICKER,"",true,Size,3″×3″,,,,,,,,1308607_10163,1.7009713875,shopify,deny,manual,4.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/kiss-cut-stickers-white-3x3-default-698ce70e1cd85.jpg?v=1770841883,1,Product mockup,false,,,4054,unisex,adult,1308607_10163,new,,STICKER,,,,,,,,,permanent,,,blue,,vinyl,,,,,,,animals,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/kiss-cut-stickers-white-3x3-default-698ce70e1cd85.jpg?v=1770841883,oz,,2.95,active
blubullfly-bubble-free-vinyl-stickers,,,,,,,,,4″×4″,,,,,,,,1308607_10164,2.8349523125,shopify,deny,manual,4.50,,true,true,,,,,785034393068,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/kiss-cut-stickers-white-4x4-default-698ce70e1d734.jpg?v=1770841883,2,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/kiss-cut-stickers-white-4x4-default-698ce70e1d734.jpg?v=1770841883,oz,,3.25,
blubullfly-white-glossy-ceramic-mug,Blubullfly Glossy White Ceramic Mug - Microwave & Dishwasher Safe,"Whether you're drinking your morning coffee, evening tea, or something in between—this mug's for you! It's sturdy and glossy with a vivid print that'll withstand the microwave and dishwasher.<br>
<br>
• Ceramic<br>
• 11 oz mug dimensions: 3.8″ (9.6 cm) in height, 3.2″ (8.2 cm) in diameter<br>
• 15 oz mug dimensions: 4.7″ (11.9 cm) in height, 3.3″ (8.5 cm) in diameter<br>
• 20 oz mug dimensions: 4.3″ (10.9 cm) in height, 3.7″ (9.3 cm) in diameter<br>
• Lead and BPA-free material<br>
• Dishwasher and microwave safe<br>
• Blank product sourced from China",Bluebullfly,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,MUG,"",true,Size,11 oz,,,,,,,,2458977_1320,326.0195159375,shopify,deny,manual,12.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/white-glossy-mug-white-15-oz-front-view-698cead12b9e3.jpg?v=1770842859,1,Product mockup,false,,,2169,unisex,adult,2458977_1320,new,,MUG,,,,,,,,,,,,white; white-with-butterflies-pattern,ceramic,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/white-glossy-mug-white-11-oz-front-view-698cead12ae70.jpg?v=1770842859,oz,,9.49,active
blubullfly-white-glossy-ceramic-mug,,,,,,,,,15 oz,,,,,,,,2458977_4830,453.59237,shopify,deny,manual,15.00,,true,true,,,,,785034393051,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/white-glossy-mug-white-11-oz-front-view-698cead12ae70.jpg?v=1770842859,2,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/white-glossy-mug-white-15-oz-front-view-698cead12b9e3.jpg?v=1770842859,oz,,11.49,
blubullfly-white-glossy-ceramic-mug,,,,,,,,,20 oz,,,,,,,,2458977_16586,535.8059870625,shopify,deny,manual,17.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/white-glossy-mug-white-20-oz-front-view-698cead12bf62.jpg?v=1770842859,3,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/white-glossy-mug-white-20-oz-front-view-698cead12bf62.jpg?v=1770842859,oz,,13.25,
blubullfly-kids-cotton-performance-t-shirt,Blubullfly Kids Cotton Crew Neck Performance T-Shirt,"<p>This tee allows kids to move, play, and stay comfortable all day.  The soft cotton blend feels great on the skin, while the added stretch keeps up with every movement.  Add an all-over design to create a piece you won’t find anywhere else.  Order this tee for your child or sell it online with no minimums. 96% cotton, 4% elastane. Fabric weight: 5. 6 oz. /yd. ² (189 g/m²). Soft handfeel with a smooth surface for vibrant prints. Regular fit. Self-fabric collar. Tear-away care label. Pilling-resistant and colorfast after washing. Blank product sourced from Mexico. Disclaimers:. Avoid large solid fills of dark or saturated colors.  These areas require more ink, which can make the fabric feel stiff on first wear and appear slightly muted after printing.  Lighter tones use less ink and feel softer on first wear, but you are not limited to them. To reduce stiffness, use patterns or designs with negative space instead of solid fills.  Less ink makes the fabric feel softer and more breathable. Expect slightly muted color results compared to digital previews or sublimation prints.  Cotton absorbs ink differently, so the fabric’s texture may show through the print, adding a soft, matte finish. When stretched, printed areas may show fine cracks or the white base fabric, especially at seams, cuffs, or tight spots.  This is normal for flexible cotton garments. Print results may vary slightly by garment thickness.  Thicker fabrics absorb ink differently from lighter items. Product code: 5103KCO. This product is made on demand.  No minimums.</p>",Bluebullfly,Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,T-Shirts,"",true,Size,2T,,,,,,,,6409282_33950,65.2039031875,shopify,deny,manual,38.94,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-back-6994bb7b1d386.jpg?v=1771355012,1,Product mockup,false,,,212,unisex,adult,6409282_33950,new,,,,,,,,,,,,kids; teens; toddlers,,white-with-butterflies-pattern; floral,,,cotton,,crew,2-3-years; 3-4-years; 4-5-years; 5-6-years; 6-7-years; 6,short,unisex,,medium,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,active
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,3T,,,,,,,,6409282_33949,68.32235073125,shopify,deny,manual,38.94,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,2,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,4T,,,,,,,,6409282_33951,73.1417696625,shopify,deny,manual,38.94,,true,true,,,,,785034393099,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-left-6994bb7b1c924.jpg?v=1771355012,3,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,5T,,,,,,,,6409282_33952,76.26021720625,shopify,deny,manual,38.94,,true,true,,,,,785034393105,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-left-6994bb7b1cf1a.jpg?v=1771355012,4,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,6,,,,,,,,6409282_33953,79.37866475,shopify,deny,manual,38.94,,true,true,,,,,785034393112,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-right-6994bb7b1cfe0.jpg?v=1771355012,5,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,
